year,panel,gram_canonical,total_words,total
1920,1: Scale,cell,630090,1647
1921,1: Scale,cell,589125,1811
1922,1: Scale,cell,536084,1484
1923,1: Scale,cell,711435,1499
1924,1: Scale,cell,684937,2127
1925,1: Scale,cell,860483,2414
1926,1: Scale,cell,824677,3070
1927,1: Scale,cell,797713,3177
1928,1: Scale,cell,889702,2401
1929,1: Scale,cell,880254,3404
1930,1: Scale,cell,940855,3249
1931,1: Scale,cell,1279796,3022
1932,1: Scale,cell,1186501,3525
1933,1: Scale,cell,898679,2549
1934,1: Scale,cell,1224182,3172
1935,1: Scale,cell,1180563,3787
1936,1: Scale,cell,1205270,3430
1937,1: Scale,cell,1333413,4760
1938,1: Scale,cell,1096306,2346
1939,1: Scale,cell,977570,2460
1940,1: Scale,cell,1030652,2237
1941,1: Scale,cell,870866,1627
1942,1: Scale,cell,923110,2524
1943,1: Scale,cell,781624,1455
1944,1: Scale,cell,802533,1326
1945,1: Scale,cell,695500,919
1946,1: Scale,cell,906932,2037
1947,1: Scale,cell,1034692,1500
1948,1: Scale,cell,906817,1365
1949,1: Scale,cell,949573,2228
1950,1: Scale,cell,1257239,2794
1951,1: Scale,cell,1272147,2303
1952,1: Scale,cell,1338935,3798
1953,1: Scale,cell,1246757,3040
1954,1: Scale,cell,1348685,3410
1955,1: Scale,cell,1510331,2883
1956,1: Scale,cell,1486176,3860
1957,1: Scale,cell,1535449,3962
1958,1: Scale,cell,1709098,3506
1959,1: Scale,cell,1586959,3819
1960,1: Scale,cell,1782508,4480
1961,1: Scale,cell,1765657,4184
1962,1: Scale,cell,1753664,5402
1963,1: Scale,cell,1844840,4236
1964,1: Scale,cell,2285016,4846
1965,1: Scale,cell,2366519,5967
1966,1: Scale,cell,2646845,6207
1967,1: Scale,cell,2436421,4403
1968,1: Scale,cell,2817575,5624
1969,1: Scale,cell,3165729,8012
1970,1: Scale,cell,3398488,8232
1971,1: Scale,cell,3876617,10308
1972,1: Scale,cell,3861897,6448
1973,1: Scale,cell,3944110,7546
1974,1: Scale,cell,4327880,7813
1975,1: Scale,cell,4926792,9066
1976,1: Scale,cell,4851135,9450
1977,1: Scale,cell,5986495,10600
1978,1: Scale,cell,5653233,9032
1979,1: Scale,cell,5693994,9717
1980,1: Scale,cell,6331998,11238
1981,1: Scale,cell,6748054,11757
1982,1: Scale,cell,6661455,11932
1983,1: Scale,cell,7131449,11115
1984,1: Scale,cell,7405435,12316
1985,1: Scale,cell,7790280,13414
1986,1: Scale,cell,7205017,8943
1987,1: Scale,cell,8232279,10334
1988,1: Scale,cell,9127375,9921
1989,1: Scale,cell,9187930,9900
1990,1: Scale,cell,9827250,14032
1991,1: Scale,cell,10692126,10584
1992,1: Scale,cell,11532841,14296
1993,1: Scale,cell,11863228,12077
1994,1: Scale,cell,12424547,11734
1995,1: Scale,cell,13968243,12449
1996,1: Scale,cell,15100715,11734
1997,1: Scale,cell,15395967,11204
1998,1: Scale,cell,16912010,13541
1999,1: Scale,cell,16924957,13588
2000,1: Scale,cell,18064233,17596
2001,1: Scale,cell,19322097,17288
2002,1: Scale,cell,18790584,12806
2003,1: Scale,cell,20408258,14466
2004,1: Scale,cell,20858212,12288
2005,1: Scale,cell,21777074,16167
2006,1: Scale,cell,23460538,15410
2007,1: Scale,cell,23407699,16904
2008,1: Scale,cell,26392520,20970
2009,1: Scale,cell,26767306,17845
2010,1: Scale,cell,23931224,18830
2011,1: Scale,cell,24867009,24857
1920,1: Scale,community,630090,10
1921,1: Scale,community,589125,65
1922,1: Scale,community,536084,32
1923,1: Scale,community,711435,158
1924,1: Scale,community,684937,5
